Hisseler,Son,% Fark,Hacim (TL),Saat
KLYPV_KALYON_GUNES_TEKNOLOJILERI,52.6,-4.36,111013241.90,18:10
KMPUR_KIMTEKS_POLIURETAN,16.05,-2.13,11460526.15,18:10
KNFRT_KONFRUT_TARIM,10.41,-8.12,24226379.57,18:10
KOCMT_KOC_METALURJI,3.03,9.78,475484455.81,18:10
KONKA_KONYA_KAGIT,7.35,-5.16,14564779.07,18:10
KONTR_KONTROLMATIK_TEKNOLOJI,2.3,-9.45,15718179.60,18:10
KONYA_KONYA_CIMENTO,3785.00,-3.57,95610007.50,18:10
KOPOL_KOZA_POLYESTER,3.41,-5.01,31646543.40,18:10
KORDS_KORDSA_TEKNIK_TEKSTIL,2.99,-1.97,41927443.48,18:10
KOTON_KOTON_MAGAZACILIK,10.82,-2.87,8010595.37,18:10
KPEKS_KAPEKS_KIMYA,57.4,-9.46,1088097222.25,18:10
KRDMA_KARDEMIR_(A),43.12,-0.42,342673991.22,18:10
KRDMB_KARDEMIR_(B),71.7,9.97,478492380.60,18:10
KRDMD_KARDEMIR_(D),46.2,-1.03,1726513023.68,18:10
KRGYO_KORFEZ_GMYO,3.01,-8.51,40997235.77,18:10
KRONT_KRON_TEKNOLOJI,20.28,7.42,27467145.54,18:10
